[2025-07-15 12:09:31] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 86.2, 'memory_percent': 82.9, 'uptime_seconds': 406320, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:14:09] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 14.0, 'memory_percent': 68.1, 'uptime_seconds': 406598, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:14:09] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 25.0, 'memory_percent': 68.1, 'uptime_seconds': 406598, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:14:21] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 53.5, 'memory_percent': 70.6, 'uptime_seconds': 406609, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:17:27] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 28.0, 'memory_percent': 76.0, 'uptime_seconds': 406797, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:17:28] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 41.1, 'memory_percent': 76.7, 'uptime_seconds': 406797, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:17:31] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 14.7, 'memory_percent': 77.3, 'uptime_seconds': 406801, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:18:58] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 31.8, 'memory_percent': 89.0, 'uptime_seconds': 406887, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:19:02] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 14.1, 'memory_percent': 87.7, 'uptime_seconds': 406891, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:19:04] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 32.0, 'memory_percent': 87.7, 'uptime_seconds': 406893, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-16 09:38:25] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 99.2, 'memory_percent': 84.7, 'uptime_seconds': 483653, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-16 09:39:36] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 78.3, 'memory_percent': 77.8, 'uptime_seconds': 483724, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-16 09:40:22] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 70.3, 'memory_percent': 77.2, 'uptime_seconds': 483771, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-16 09:41:09] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 86.7, 'memory_percent': 77.6, 'uptime_seconds': 483818, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
